67 61 5 4 9 2
70 14 7 7 2 2
73 63 7 10 9 1
72 52 8 5 5 3
77 69 10 1 4 1
51 52 9 5 9 3
67 38 10 2 2 2
76 46 3 5 8 1
38 63 10 7 6 3
41 36 3 6 6 3
43 61 5 4 2 3
27 76 9 1 6 3
23 73 8 1 7 1
66 24 2 8 4 1
78 25 9 1 3 1
79 4 2 6 6 3
59 55 4 6 8 3
60 5 9 3 4 3
32 65 9 3 3 1
19 11 7 9 10 1
48 28 7 5 6 1
41 43 5 10 6 3
79 46 5 3 3 3
44 12 5 3 10 2
72 60 6 7 2 2
19 78 5 5 2 1
5 20 9 2 10 2
66 6 8 5 8 1
36 67 8 6 8 3
72 51 7 4 5 1
72 58 7 7 5 2
25 48 8 9 2 2
39 22 8 4 2 2
17 24 2 4 6 3
61 25 3 6 5 2
6 57 2 9 3 1
15 73 9 5 5 2
79 49 8 2 6 2
15 72 2 6 7 2
14 6 4 1 3 1
48 76 8 8 10 3
42 1 5 2 8 2
43 21 7 2 2 3
61 55 3 5 7 3
59 72 9 5 6 2
57 32 4 3 7 3
46 47 2 4 9 2
13 22 3 6 9 3
71 27 8 5 3 2
66 70 8 6 7 1
22 30 3 5 9 3
59 51 7 10 5 2
18 47 2 2 3 1
3 31 8 9 7 3
71 47 3 5 9 1
77 16 3 8 6 2
56 27 5 5 7 2
2 35 7 9 5 2
76 58 4 7 6 2
22 25 7 4 2 2
59 38 2 1 2 1
4 62 5 10 5 3
73 31 6 9 2 2
22 60 5 7 3 1
67 10 5 1 10 3
70 79 6 10 7 2
5 38 6 7 2 1
30 40 9 3 3 3
34 48 6 8 6 3
75 68 6 3 2 1
70 22 10 4 3 1
79 11 9 6 4 3
70 20 5 5 2 2
29 23 2 6 10 3
65 45 3 3 4 3
39 6 9 2 10 1
34 76 7 4 10 1
14 14 6 5 5 1
30 3 10 10 7 1
57 64 5 2 6 3
7 37 9 5 3 1
44 41 5 5 9 3
9 74 5 10 10 3
7 72 3 3 10 1
58 25 9 8 5 1
53 58 2 7 8 2
51 70 10 7 6 2
67 12 9 1 7 1
72 25 9 1 6 3
38 55 2 3 5 1
70 1 6 6 10 2
33 62 2 4 10 1
20 33 5 10 10 3
61 59 5 3 5 3
9 49 10 1 2 3
4 4 6 3 5 3
36 6 4 1 3 1
56 10 7 5 8 1
54 50 10 4 7 2
55 26 7 5 10 2
12 14 7 5 8 2
61 52 9 8 2 2
69 39 7 6 7 3
79 25 7 1 4 3
60 19 4 8 7 2
24 56 9 7 9 1
54 35 6 6 7 2
31 55 2 7 3 2
35 2 6 6 7 2
78 1 2 2 3 2
27 58 2 9 8 2
65 38 4 10 7 3
42 37 3 8 6 3
8 76 5 6 5 2
19 51 10 10 7 2
29 67 10 4 3 2
41 9 6 8 7 1
22 60 6 1 6 3
36 33 10 8 3 2
29 16 7 10 6 1
80 37 4 8 8 1
36 54 8 5 2 1
50 3 3 6 8 2
13 54 7 2 6 3
53 3 5 2 3 1
16 74 5 6 3 1
59 27 5 6 10 2
28 68 3 1 9 1
38 41 3 5 9 1
44 7 3 5 3 2
74 44 10 9 9 1
36 4 4 3 10 2
53 52 5 2 8 3
26 70 5 5 7 1
66 1 10 6 9 3
46 70 7 10 8 1
76 44 3 6 9 2
23 55 6 2 8 1
18 64 9 5 6 2
34 8 4 5 7 2
49 22 10 4 5 2
34 20 3 4 3 3
2 73 9 4 8 3
19 58 4 3 5 2
31 66 10 3 4 2
55 42 4 7 5 3
77 6 7 10 10 1
34 12 10 5 6 1
26 51 2 10 10 2
25 39 2 1 7 2
62 23 8 10 10 3
56 78 10 5 10 1
77 19 10 6 8 3
42 10 2 3 8 1
42 76 2 3 5 3
56 36 3 8 9 2
19 73 8 3 7 1
47 64 9 5 8 1
57 19 4 9 2 1
52 8 5 6 2 1
80 57 10 3 10 3
67 37 5 10 6 3
30 31 7 1 5 3
58 65 2 1 6 3
51 51 8 1 8 2
34 41 8 10 7 1
41 61 3 3 5 3
40 72 7 5 6 2
3 49 6 9 4 3
41 78 6 4 7 2
54 32 7 6 6 2
14 25 3 6 10 1
57 73 7 4 2 2
16 77 9 3 5 3
21 55 10 2 7 1
33 16 6 9 7 2
74 4 6 3 5 3
70 56 9 2 8 3
70 56 8 10 10 2
10 1 2 4 4 2
54 1 8 3 6 3
16 74 4 9 3 2
5 62 6 2 3 2
77 5 10 8 2 2
75 29 3 9 6 3
67 4 10 4 8 2
61 71 10 9 5 1
35 32 10 5 9 3
25 28 8 6 9 2
33 61 7 2 10 1
63 63 6 7 7 3
23 67 6 4 7 2
66 43 4 8 2 1
37 22 10 5 6 1
74 72 7 10 10 1
70 47 6 10 6 3
22 3 4 7 5 3
50 69 7 7 8 2
17 72 7 4 2 2
30 8 3 3 10 3
65 21 4 6 6 1
41 10 10 1 3 2
50 68 7 7 9 1
48 33 4 6 5 1
44 75 10 4 10 3
24 29 7 7 2 3
27 61 4 6 4 2
75 62 3 5 8 1
27 27 9 7 7 2
37 64 10 7 8 2
53 50 9 5 9 1
47 35 3 3 6 1
49 34 3 8 2 1
41 70 6 10 4 3
59 6 2 4 8 2
23 23 5 8 8 2
24 56 7 9 6 1
30 65 2 5 2 2
44 18 6 7 3 2
33 74 7 9 4 1
19 77 5 7 9 1
2 75 4 10 6 1
47 75 9 6 8 1
3 8 8 5 6 1
78 10 2 8 3 2
